Team,Result,For,Aga,Diff,Tries,Conv,Pens,Drop,GfM,Opposition,Ground,Match Date
Argentina,won,152,0,24,16,0,0,0,v Paraguay,Mendoza,1 May 2002
Japan,won,155,3,23,20,0,0,0,v C Taipai,Tokyo,7 Jul 2002
Hong Kong,won,164,13,26,17,0,0,0,v Singapore,Kuala Lumpur,27 Oct 1994
Argentina,won,144,0,24,12,0,0,0,v Paraguay,Montevideo,27 Apr 2003
Australia,won,142,0,22,16,0,0,0,v Namibia,Adelaide,25 Oct 2003
Argentina,won,147,7,23,16,0,0,0,v Venezuela,Santiago,1 May 2004
England,won,134,0,20,14,2,0,0,v Romania,Twickenham,17 Nov 2001
Mauritius,won,134,0,-,-,-,-,-,v Swaziland,Gaberone,21 Jun 2014
Korea,won,135,3,-,-,-,-,-,v Malaysia,Hong Kong,20 Sep 1992
South Africa,won,134,3,21,13,1,0,0,v Uruguay,East London,11 Jun 2005
New Zealand,won,145,17,21,20,0,0,0,v Japan,Bloemfontein,4 Jun 1995
Japan,won,134,6,20,17,0,0,0,v C Taipai,Singapore,27 Oct 1998
Japan,won,132,10,20,16,0,0,0,v Sri Lanka,Nagoya,10 May 2014
Denmark,won,127,5,19,16,0,0,0,v Estonia,Odense,28 Apr 2018
Japan,won,121,0,18,14,1,0,0,v Philippines,Fukuoka,20 Apr 2013
Zimbabwe,won,130,10,-,-,-,-,-,v Botswana,Bulawayo,7 Sep 1996
Tonga,won,119,0,17,17,0,0,0,v Korea,Nuku A'lofa,22 Mar 2003
Namibia,won,118,0,18,13,0,0,0,v Tunisia,Windhoek,23 Jun 2018
Japan,won,120,3,18,15,0,0,0,v C Taipai,Tainan,21 Jul 2002
Fiji,won,120,4,21,18,0,0,0,v Niue Island,Apia,10 Sep 1983
Sweden,won,116,3,18,13,0,0,0,v Luxembourg,Luxembourg City,5 May 2001
Namibia,won,112,0,18,11,0,0,0,v Madagascar,Windhoek,15 Jun 2002
Korea,won,119,7,-,-,-,-,-,v C Taipai,Seoul,30 Jun 2002
Colombia,won,112,0,18,11,0,0,0,v ,Antioquia,31 Aug 2014
Argentina,won,114,3,18,12,0,0,0,v Brazil,Sao Paulo,2 Oct 1993
Japan,won,111,0,17,13,0,0,0,v UAE,Dubai,13 May 2011
Argentina,won,111,0,17,13,0,0,0,v Brazil,Santiago,23 May 2012
England,won,110,0,16,15,0,0,0,v Netherlands,Huddersfield,14 Nov 1998
Paraguay,won,109,0,-,-,-,-,-,v ,Asuncion,20 Sep 2019
Hong Kong,won,108,0,-,-,-,-,-,v Sri Lanka,Taipei,9 Nov 1980
