Date,Tourn,Rnd,Match,Score,Tries,Pnts,Venue,Neut.
"Mon, 27 Mar 1871", ,[ v ENG,4-1,2:1,4-1,"Raeburn Place, Edinburgh", 
"Mon, 05 Feb 1872", ,[ v SCO,8-3,3:0,4-0,"The Oval, London", 
"Mon, 03 Mar 1873", ,SCO v ENG,0-0,0:0,2-2,"Hamilton Crescent, Glasgow", 
"Mon, 23 Feb 1874", ,[ v SCO,3-1,0:1,4-1,"The Oval, London", 
"Mon, 15 Feb 1875", ,[ v IRE,7-0,2:0,4-0,"The Oval, London", 
"Mon, 08 Mar 1875", ,SCO v ENG,0-0,0:0,2-2,"Raeburn Place, Edinburgh", 
"Mon, 13 Dec 1875", ,I['ENG'],0-4,0:2,0-4,"Rathmines, Dublin", 
"Mon, 06 Mar 1876", ,[ v SCO,4-0,2:0,4-0,"The Oval, London", 
"Mon, 05 Feb 1877", ,[ v IRE,8-0,4:0,5-0,"The Oval, London", 
"Mon, 19 Feb 1877", ,I['SCO'],0-20,0:6,0-5,"Ormeau, Belfast", 
"Mon, 05 Mar 1877", ,[ v ENG,3-0,0:0,4-1,"Raeburn Place, Edinburgh", 
"Mon, 04 Mar 1878", ,ENG v SCO,0-0,0:0,2-2,"The Oval, London", 
"Mon, 11 Mar 1878", ,I['ENG'],0-7,0:3,0-4,"Lansdowne Rd, Dublin", 
"Mon, 17 Feb 1879", ,I['SCO'],0-7,0:2,0-4,"Ormeau, Belfast", 
"Mon, 10 Mar 1879",CA, ,SCO v ENG,3-3,0:1,2-2,"Raeburn Place, Edinburgh", 
"Mon, 24 Mar 1879", ,[ v IRE,11-0,4:0,5-0,"The Oval, London", 
"Sat, 30 Jan 1880", ,I['ENG'],1-4,1:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 14 Feb 1880", ,[ v IRE,11-0,3:0,4-0,"Hamilton Crescent, Glasgow", 
"Sat, 28 Feb 1880",CA, , v SCO,9-3,5:1,5-0,"Whalley Range, Manchester", 
"Sat, 05 Feb 1881", ,[ v IRE,8-0,4:0,5-0,"Whalley Range, Manchester", 
"Sat, 19 Feb 1881", ,[ v WAL,30-0,13:0,5-0,"Richardsons Field, Blackheath", 
"Sat, 19 Feb 1881", ,[ v SCO,3-1,0:1,4-1,"Ormeau, Belfast", 
"Sat, 19 Mar 1881",CA, ,SCO v ENG,4-4,2:1,2-2,"Raeburn Place, Edinburgh", 
"Sun, 28 Jan 1882", ,I['WAL'],0-8,0:4,0-5,"Lansdowne Rd, Dublin", 
"Mon, 06 Feb 1882", ,IRE v ENG,2-2,2:2,2-2,"Lansdowne Rd, Dublin", 
"Sat, 18 Feb 1882", ,[ v IRE,2-0,2:0,4-1,"Hamilton Crescent, Glasgow", 
"Sat, 04 Mar 1882",CA, ,ENG v ,0-2,0:2,1-4,"Whalley Range, Manchester", 
"Sat, 16 Dec 1882",5N, ,WAL v ,0-10,0:6,0-5,Swansea, 
"Tue, 08 Jan 1883",5N, , v WAL,9-3,3:1,4-0,"Raeburn Place, Edinburgh", 
"Mon, 05 Feb 1883",5N, , v IRE,6-1,4:1,5-0,"Whalley Range, Manchester", 
"Sat, 17 Feb 1883",5N, ,IRE v ,0-4,0:2,0-4,"Ormeau, Belfast", 
"Sat, 03 Mar 1883","5N,CA", ,SCO v ,1-2,1:2,1-4,"Raeburn Place, Edinburgh", 
"Sun, 05 Jan 1884",5N, , v WAL,5-3,3:1,4-1,Leeds, 
"Sun, 12 Jan 1884",5N, ,WAL v ,0-4,0:1,0-4,Newport, 
"Mon, 04 Feb 1884",5N, ,IRE v ,0-3,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 16 Feb 1884",5N, , v IRE,8-1,4:1,5-0,"Raeburn Place, Edinburgh", 
"Sat, 01 Mar 1884","5N,CA", , v SCO,3-1,1:1,4-1,"Rectory Ground, Blackheath", 
"Sat, 12 Apr 1884",5N, , v IRE,5-0,2:0,4-0,Cardiff Arms Park, 
"Sun, 03 Jan 1885",5N, ,WAL v ,4-7,2:5,1-5,Swansea, 
"Sun, 10 Jan 1885",5N, ,SCO v WAL,0-0,0:0,2-2,"Hamilton Crescent, Glasgow", 
"Sat, 07 Feb 1885",5N, , v IRE,2-1,2:1,4-1,"Whalley Range, Manchester", 
"Sat, 21 Feb 1885",5N, ,IRE v ,0-1,0:1,1-4,"Ormeau, Belfast", 
"Sat, 07 Mar 1885",5N, , v IRE,5-0,3:0,4-0,"Raeburn Place, Edinburgh", 
"Sun, 02 Jan 1886",5N, , v WAL,5-3,2:1,4-1,"Rectory Ground, Blackheath", 
"Sun, 09 Jan 1886",5N, ,WAL v ,0-7,0:3,0-4,Cardiff Arms Park, 
"Sat, 06 Feb 1886",5N, ,IRE v ,0-1,0:1,1-4,"Lansdowne Rd, Dublin", 
"Sat, 20 Feb 1886",5N, , v IRE,14-0,5:0,5-0,"Raeburn Place, Edinburgh", 
"Sat, 13 Mar 1886","5N,CA", ,SCO v ENG,0-0,0:0,2-2,"Raeburn Place, Edinburgh", 
"Sun, 08 Jan 1887",5N, ,WAL v ENG,0-0,0:0,2-2,Llanelli, 
"Sat, 05 Feb 1887",5N, , v ENG,6-0,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 19 Feb 1887",5N, ,IRE v ,0-8,0:3,0-4,"Ormeau, Belfast", 
"Sat, 26 Feb 1887",5N, , v WAL,20-0,12:0,5-0,"Raeburn Place, Edinburgh", 
"Sat, 05 Mar 1887","5N,CA", ,ENG v SCO,1-1,1:1,2-2,"Whalley Range, Manchester", 
"Sat, 12 Mar 1887",5N, , v IRE,4-3,1:3,4-1,Birkenhead Park,Y
"Sat, 04 Feb 1888",5N, , v SCO,1-0,1:0,4-1,Newport, 
"Sat, 03 Mar 1888",5N, , v WAL,7-0,2:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 10 Mar 1888",5N, , v IRE,3-0,1:0,4-1,"Raeburn Place, Edinburgh", 
"Sat, 02 Feb 1889",5N, , v WAL,2-0,2:0,4-1,"Raeburn Place, Edinburgh", 
"Sat, 16 Feb 1889",5N, ,IRE v ,0-3,0:0,1-4,"Ormeau, Belfast", 
"Sat, 02 Mar 1889",5N, ,WAL v ,0-2,0:2,1-4,Swansea, 
"Sat, 01 Feb 1890",5N, ,WAL v ,2-8,1:3,0-4,Cardiff Arms Park, 
"Sat, 15 Feb 1890",5N, ,ENG v ,0-1,0:1,1-4,Dewsbury, 
"Sat, 22 Feb 1890",5N, , v IRE,5-0,1:0,4-0,"Raeburn Place, Edinburgh", 
"Sat, 01 Mar 1890","5N,CA", ,SCO v ,0-6,0:2,0-4,"Raeburn Place, Edinburgh", 
"Sat, 01 Mar 1890",5N, ,IRE v WAL,3-3,1:1,2-2,"Lansdowne Rd, Dublin", 
"Sat, 15 Mar 1890",5N, , v IRE,3-0,3:0,4-1,"Rectory Ground, Blackheath", 
"Sun, 03 Jan 1891",5N, ,WAL v ,3-7,1:3,0-4,Newport, 
"Sat, 07 Feb 1891",5N, ,IRE v ,0-9,0:5,0-5,"Lansdowne Rd, Dublin", 
"Sat, 07 Feb 1891",5N, , v WAL,15-0,7:0,5-0,"Raeburn Place, Edinburgh", 
"Sat, 21 Feb 1891",5N, ,IRE v ,0-14,0:4,0-5,"Ballynafeigh, Belfast", 
"Sat, 07 Mar 1891","5N,CA", ,ENG v ,3-9,1:2,0-4,Richmond, 
"Sat, 07 Mar 1891",5N, , v IRE,6-4,1:1,4-1,Llanelli, 
"Thu, 30 Jul 1891",LT,1 ,SAF v ,0-4,0:2,1-4,"Crusader, Pt Elizabeth", 
"Sat, 29 Aug 1891",LT,2 ,SAF v ,0-3,0:0,1-4,"Eclectic CG, Kimberley", 
"Sat, 05 Sep 1891",LT,3 ,SAF v ,0-4,0:2,1-4,"Newlands, Cape Town", 
"Sun, 02 Jan 1892",5N, , v WAL,17-0,4:0,5-0,"Rectory Ground, Blackheath", 
"Sat, 06 Feb 1892",5N, , v IRE,7-0,2:0,4-0,"Whalley Range, Manchester", 
"Sat, 06 Feb 1892",5N, ,WAL v ,2-7,1:2,0-4,Swansea, 
"Sat, 20 Feb 1892",5N, , v IRE,2-0,1:0,4-1,"Raeburn Place, Edinburgh", 
"Sat, 05 Mar 1892","5N,CA", ,SCO v ,0-5,0:1,0-4,"Raeburn Place, Edinburgh", 
"Sat, 05 Mar 1892",5N, , v WAL,9-0,3:0,4-0,"Lansdowne Rd, Dublin", 
"Sun, 07 Jan 1893",5N, , v ENG,12-11,3:4,4-2,Cardiff Arms Park, 
"Sat, 04 Feb 1893",5N, ,IRE v ,0-4,0:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 04 Feb 1893",5N, ,SCO v ,0-9,0:3,0-4,"Raeburn Place, Edinburgh", 
"Sat, 18 Feb 1893",5N, ,IRE v SCO,0-0,0:0,2-2,"Ballynafeigh, Belfast", 
"Sat, 04 Mar 1893","5N,CA", ,ENG v ,0-8,0:0,0-4,Leeds, 
"Sat, 11 Mar 1893",5N, , v IRE,2-0,1:0,4-1,Llanelli, 
"Sun, 06 Jan 1894",5N, , v WAL,24-3,4:1,5-0,Birkenhead Park, 
"Sat, 03 Feb 1894",5N, ,ENG v ,5-7,1:1,1-4,"Rectory Ground, Blackheath", 
"Sat, 03 Feb 1894",5N, , v SCO,7-0,1:0,4-0,Newport, 
"Sat, 24 Feb 1894",5N, , v SCO,5-0,1:0,4-1,"Lansdowne Rd, Dublin", 
"Sat, 10 Mar 1894",5N, , v WAL,3-0,0:0,4-1,"Ballynafeigh, Belfast", 
"Sat, 17 Mar 1894","5N,CA", , v ENG,6-0,2:0,4-0,"Raeburn Place, Edinburgh", 
"Sun, 05 Jan 1895",5N, ,WAL v ,6-14,2:4,0-5,Swansea, 
"Sun, 26 Jan 1895",5N, , v WAL,5-4,1:0,4-1,"Raeburn Place, Edinburgh", 
"Sat, 02 Feb 1895",5N, ,IRE v ,3-6,1:2,1-4,"Lansdowne Rd, Dublin", 
"Sat, 02 Mar 1895",5N, , v IRE,6-0,2:0,4-0,"Raeburn Place, Edinburgh", 
"Sat, 09 Mar 1895","5N,CA", ,ENG v ,3-6,0:1,1-4,Richmond, 
"Sat, 16 Mar 1895",5N, , v IRE,5-3,1:1,4-1,Cardiff Arms Park, 
"Sun, 04 Jan 1896",5N, , v WAL,25-0,7:0,5-0,"Rectory Ground, Blackheath", 
"Sun, 25 Jan 1896",5N, , v SCO,6-0,2:0,4-0,Cardiff Arms Park, 
"Sat, 01 Feb 1896",5N, ,ENG v ,4-10,0:2,0-4,Leeds, 
"Sat, 15 Feb 1896",5N, ,IRE v SCO,0-0,0:0,2-2,"Lansdowne Rd, Dublin", 
"Sat, 14 Mar 1896","5N,CA", , v ENG,11-0,3:0,4-0,"Hampden Park, Glasgow", 
"Sat, 14 Mar 1896",5N, , v WAL,8-4,2:0,4-1,"Lansdowne Rd, Dublin", 
"Thu, 30 Jul 1896",LT,1 ,SAF v ,0-8,0:2,0-4,"Crusader, Pt Elizabeth", 
"Sat, 22 Aug 1896",LT,2 ,SAF v ,8-17,2:3,0-4,"Wanderers, Johannesburg", 
"Sat, 29 Aug 1896",LT,3 ,SAF v ,3-9,1:1,0-4,"Eclectic CG, Kimberley", 
"Sat, 05 Sep 1896",LT,4 , v LIO,5-0,1:0,4-1,"Newlands, Cape Town", 
"Sun, 09 Jan 1897",5N, , v ENG,11-0,3:0,4-0,Newport, 
"Sat, 06 Feb 1897",5N, , v ENG,13-9,3:1,4-1,"Lansdowne Rd, Dublin", 
"Sat, 20 Feb 1897",5N, , v IRE,8-3,1:1,4-1,"Powderhall, Edinburgh", 
"Sat, 13 Mar 1897","5N,CA", , v SCO,12-3,2:1,4-0,"Fallowfld, Manchester", 
"Sat, 05 Feb 1898",5N, ,ENG v ,6-9,1:2,1-4,Richmond, 
"Sat, 19 Feb 1898",5N, ,IRE v ,0-8,0:2,0-4,"Balmoral Showground, Belfast", 
"Sat, 12 Mar 1898","5N,CA", ,SCO v ENG,3-3,1:1,2-2,"Powderhall, Edinburgh", 
"Sat, 19 Mar 1898",5N, ,IRE v ,3-11,0:2,0-4,"Thomond Park, Limerick", 
"Sat, 02 Apr 1898",5N, , v WAL,14-7,4:1,5-0,"Rectory Ground, Blackheath", 
"Sun, 07 Jan 1899",5N, , v ENG,26-3,6:1,5-0,Swansea, 
"Sat, 04 Feb 1899",5N, , v ENG,6-0,1:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 18 Feb 1899",5N, ,SCO v ,3-9,0:3,0-4,Inverleith, 
"Sat, 04 Mar 1899",5N, , v WAL,21-10,3:2,4-0,Inverleith, 
"Sat, 11 Mar 1899","5N,CA", ,ENG v ,0-5,0:1,1-4,"Rectory Ground, Blackheath", 
"Sat, 18 Mar 1899",5N, ,WAL v ,0-3,0:1,1-4,Cardiff Arms Park, 
"Sat, 24 Jun 1899",LT,1 , v LIO,13-3,3:1,4-0,"Cricket Ground, Sydney", 
"Sat, 22 Jul 1899",LT,2 ,AUS v ,0-11,0:3,0-4,"Exhibition Ground, Brisbane", 
"Sat, 05 Aug 1899",LT,3 ,AUS v ,10-11,2:3,1-4,"Cricket Ground, Sydney", 
"Sat, 12 Aug 1899",LT,4 ,AUS v ,0-13,0:2,0-4,"Cricket Ground, Sydney", 
"Sun, 06 Jan 1900",5N, ,ENG v ,3-13,1:2,0-4,"Kingsholm Stadium, Gloucester", 
"Sun, 27 Jan 1900",5N, , v SCO,12-3,4:1,5-0,Swansea, 
"Sat, 03 Feb 1900",5N, , v IRE,15-4,3:0,4-0,Richmond, 
"Sat, 24 Feb 1900",5N, ,IRE v SCO,0-0,0:0,2-2,"Lansdowne Rd, Dublin", 
"Sun, 10 Mar 1900","5N,CA", ,SCO v ENG,0-0,0:0,2-2,Inverleith, 
"Sun, 17 Mar 1900",5N, ,IRE v ,0-3,0:1,1-4,"Balmoral Showground, Belfast", 
"Sun, 05 Jan 1901",5N, , v ENG,13-0,3:0,4-0,Cardiff Arms Park, 
"Sat, 09 Feb 1901",5N, , v ENG,10-6,2:2,4-1,"Lansdowne Rd, Dublin", 
"Sat, 09 Feb 1901",5N, , v WAL,18-8,4:2,5-0,Inverleith, 
"Sat, 23 Feb 1901",5N, , v IRE,9-5,3:1,4-1,Inverleith, 
"Sat, 09 Mar 1901","5N,CA", ,ENG v ,3-18,1:4,0-5,"Rectory Ground, Blackheath", 
"Sat, 16 Mar 1901",5N, , v IRE,10-9,2:3,4-1,Swansea, 
"Sun, 11 Jan 1902",5N, ,ENG v ,8-9,2:2,1-4,"Rectory Ground, Blackheath", 
"Sat, 01 Feb 1902",5N, , v SCO,14-5,4:1,5-0,Cardiff Arms Park, 
"Sat, 08 Feb 1902",5N, , v IRE,6-3,2:1,4-1,"Welford Rd, Leicester", 
"Sat, 22 Feb 1902",5N, , v SCO,5-0,1:0,4-1,"Balmoral Showground, Belfast", 
"Sat, 08 Mar 1902",5N, ,IRE v ,0-15,0:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 15 Mar 1902","5N,CA", ,SCO v ,3-6,1:2,1-4,Inverleith, 
"Sun, 10 Jan 1903",5N, , v ENG,21-5,4:1,5-0,Swansea, 
"Sat, 07 Feb 1903",5N, , v WAL,6-0,1:0,4-0,Inverleith, 
"Sat, 14 Feb 1903",5N, , v ENG,6-0,1:0,4-0,"Lansdowne Rd, Dublin", 
"Sat, 28 Feb 1903",5N, , v IRE,3-0,1:0,4-1,Inverleith, 
"Sat, 14 Mar 1903",5N, , v IRE,18-0,6:0,5-0,Cardiff Arms Park, 
"Sat, 21 Mar 1903","5N,CA", ,ENG v ,6-10,2:2,1-4,Richmond, 
"Sat, 15 Aug 1903",TO, ,AUS v ,3-22,0:3,0-4,"Cricket Ground, Sydney", 
"Wed, 26 Aug 1903",LT,1 ,SAF v LIO,10-10,2:2,2-2,"Wanderers, Johannesburg", 
"Sat, 05 Sep 1903",LT,2 ,SAF v LIO,0-0,0:0,2-2,"Eclectic CG, Kimberley", 
"Sat, 12 Sep 1903",LT,3 , v LIO,8-0,2:0,4-0,"Newlands, Cape Town", 
"Sun, 09 Jan 1904",5N, ,ENG v WAL,14-14,3:2,2-2,"Welford Rd, Leicester", 
"Sat, 06 Feb 1904",5N, , v SCO,21-3,4:1,5-0,Swansea, 
"Sat, 13 Feb 1904",5N, , v IRE,19-0,5:0,5-0,"Rectory Ground, Blackheath", 
"Sat, 27 Feb 1904",5N, ,IRE v ,3-19,1:5,0-5,"Lansdowne Rd, Dublin", 
"Sat, 12 Mar 1904",5N, , v WAL,14-12,4:4,5-2,"Balmoral Showground, Belfast", 
"Sat, 19 Mar 1904","5N,CA", , v ENG,6-3,2:1,4-1,Inverleith, 
"Sat, 02 Jul 1904",LT,1 ,AUS v ,0-17,0:3,0-4,"Cricket Ground, Sydney", 
"Sat, 23 Jul 1904",LT,2 ,AUS v ,3-17,1:3,0-4,"Exhibition Ground, Brisbane", 
"Sat, 30 Jul 1904",LT,3 ,AUS v ,0-16,0:4,0-5,"Cricket Ground, Sydney", 
"Sat, 13 Aug 1904",LT,1 , v LIO,9-3,2:0,4-0,"Athletic Park, Wellington", 
"Sun, 14 Jan 1905",5N, , v ENG,25-0,7:0,5-0,Cardiff Arms Park, 
"Sat, 04 Feb 1905",5N, ,SCO v ,3-6,1:2,1-4,Inverleith, 
"Sat, 11 Feb 1905",5N, , v ENG,17-3,5:1,5-0,"Mardyke, Cork", 
"Sat, 25 Feb 1905",5N, ,SCO v ,5-11,1:3,0-4,Inverleith, 
"Sat, 11 Mar 1905",5N, , v IRE,10-3,2:1,4-0,Swansea, 
"Sat, 18 Mar 1905","5N,CA", ,ENG v ,0-8,0:2,0-4,Richmond, 
"Sat, 02 Sep 1905",TO, , v AUS,14-3,4:1,5-0,"Carisbrook, Dunedin", 
"Sat, 18 Nov 1905",TO, ,SCO v ,7-12,1:4,1-5,"Murrayfield, Edinburgh", 
"Sat, 25 Nov 1905",TO, ,IRE v ,0-15,0:3,0-4,"Lansdowne Rd, Dublin", 
"Sat, 02 Dec 1905",TO, ,ENG v ,0-15,0:5,0-5,Crystal Palace, 
"Sat, 16 Dec 1905",TO, , v NZL,3-0,1:0,4-1,Cardiff Arms Park, 
"Tue, 01 Jan 1906",TO, ,FRA v ,8-38,2:10,0-5,"Parc des Princes, Paris", 
"Sun, 13 Jan 1906",5N, ,ENG v ,3-16,1:4,0-5,Richmond, 
"Sat, 03 Feb 1906",5N, , v SCO,9-3,3:0,4-0,Cardiff Arms Park, 
"Sat, 10 Feb 1906",5N, ,ENG v ,6-16,2:4,0-5,"Welford Rd, Leicester", 
"Sat, 24 Feb 1906",5N, ,IRE v ,6-13,2:2,0-4,"Lansdowne Rd, Dublin", 
"Sat, 10 Mar 1906",5N, , v WAL,11-6,3:2,4-1,"Balmoral Showground, Belfast", 
"Sat, 17 Mar 1906","5N,CA", ,SCO v ,3-9,1:3,0-4,Inverleith, 
"Thu, 22 Mar 1906", ,F['ENG'],8-35,2:9,0-5,"Parc des Princes, Paris", 
"Sat, 17 Nov 1906",TO, , v SAF,6-0,2:0,4-0,"Hampden Park, Glasgow", 
"Sat, 24 Nov 1906",TO, ,IRE v ,12-15,3:4,1-5,"Ravenhill, Belfast", 
"Sat, 01 Dec 1906",TO, ,WAL v ,0-11,0:3,0-4,Swansea, 
"Sat, 08 Dec 1906",TO, ,ENG v SAF,3-3,1:1,2-2,Crystal Palace, 
"Sun, 05 Jan 1907", ,[ v FRA,41-13,9:2,5-0,Richmond, 
"Sun, 12 Jan 1907",5N, , v ENG,22-0,6:0,5-0,Swansea, 
